EntryTime,ExitTime,EntryPrice,ExitPrice,Profit,Result,EMA20,EMA50,EMA200,RSI,ADX,ATR,MACD,MACD_SIGNAL,AI_SCORE
2026-06-22 09:25:00+05:30,2026-06-22 11:50:00+05:30,24131.2,24134.1,2.9,WIN,24025.77,23996.38,23999.47,75.23,29.04,33.76,39.32,22.4,70.0
2026-06-22 13:50:00+05:30,2026-06-22 15:00:00+05:30,24124.9,24117.2,-7.7,LOSS,24122.16,24113.0,24054.57,56.64,39.55,11.04,-2.09,-2.47,73.0
2026-06-25 09:20:00+05:30,2026-06-25 12:00:00+05:30,24156.35,24247.55,91.2,WIN,24053.29,24027.16,24008.72,69.22,30.62,30.34,14.16,6.61,71.0
2026-06-25 12:05:00+05:30,2026-06-25 12:20:00+05:30,24249.35,24225.9,-23.45,LOSS,24199.64,24149.32,24058.97,76.79,32.81,14.45,25.08,22.82,78.0
2026-07-01 10:10:00+05:30,2026-07-01 10:35:00+05:30,23987.1,23977.05,-10.05,LOSS,23942.01,23931.59,23971.87,84.92,35.75,23.45,16.79,8.07,73.0
2026-07-01 10:40:00+05:30,2026-07-01 11:30:00+05:30,23953.1,23993.45,40.35,WIN,23961.35,23943.35,23972.79,59.59,58.78,22.64,17.07,16.97,78.0
2026-07-02 09:30:00+05:30,2026-07-02 10:05:00+05:30,24123.8,24099.75,-24.05,LOSS,24046.34,24024.72,23996.57,72.83,31.64,27.45,19.72,7.08,71.0
2026-07-02 12:35:00+05:30,2026-07-02 13:45:00+05:30,24132.45,24131.05,-1.4,LOSS,24109.32,24089.24,24031.16,75.17,31.35,14.45,9.72,6.82,71.0
2026-07-02 14:55:00+05:30,2026-07-02 15:15:00+05:30,24189.55,24156.45,-33.1,LOSS,24153.91,24129.87,24059.21,82.57,30.99,16.05,15.18,10.82,71.0
2026-07-03 09:15:00+05:30,2026-07-03 11:05:00+05:30,24303.05,24331.6,28.55,WIN,24174.29,24144.76,24068.01,80.72,53.1,32.1,20.77,13.79,81.0
2026-07-06 09:35:00+05:30,2026-07-06 12:10:00+05:30,24372.6,24443.0,70.4,WIN,24310.96,24302.77,24204.88,77.05,34.49,21.38,14.69,1.17,71.0
2026-07-07 10:20:00+05:30,2026-07-07 12:15:00+05:30,24493.45,24486.7,-6.75,LOSS,24461.11,24438.51,24333.39,72.54,31.16,24.26,17.55,13.3,71.0
2026-07-07 14:20:00+05:30,2026-07-07 15:00:00+05:30,24448.35,24426.9,-21.45,LOSS,24454.01,24461.26,24387.0,55.68,39.0,15.61,-6.19,-9.53,70.0
2026-04-15 14:55:00+05:30,2026-04-15 15:10:00+05:30,24261.25,24227.85,-33.4,LOSS,24229.6,24223.3,24225.33,74.3,42.4,17.22,8.57,4.43,76.0
2026-04-16 09:15:00+05:30,2026-04-16 09:35:00+05:30,24390.55,24326.8,-63.75,LOSS,24243.89,24230.84,24227.17,79.27,47.68,29.43,14.95,6.93,78.0
2026-04-16 09:40:00+05:30,2026-04-16 10:25:00+05:30,24301.95,24300.75,-1.2,LOSS,24284.66,24252.48,24233.24,58.5,44.62,37.36,31.08,23.56,80.0
2026-04-16 13:50:00+05:30,2026-04-16 14:00:00+05:30,24183.45,24145.3,-38.15,LOSS,24154.97,24196.46,24226.63,61.53,42.06,24.22,-21.06,-30.6,75.0
2026-04-17 10:00:00+05:30,2026-04-17 10:35:00+05:30,24255.3,24252.85,-2.45,LOSS,24209.17,24202.93,24220.49,67.55,43.81,39.03,12.29,8.38,76.0
2026-04-17 14:45:00+05:30,2026-04-20 15:05:00+05:30,24348.4,24392.95,44.55,WIN,24310.24,24287.06,24249.83,73.52,43.52,14.21,14.89,11.68,80.0
2026-04-20 15:10:00+05:30,2026-04-20 15:15:00+05:30,24381.8,24325.15,-56.65,LOSS,24345.82,24312.52,24260.62,87.35,40.54,16.22,22.2,19.08,82.0
2026-04-21 10:15:00+05:30,2026-04-21 11:30:00+05:30,24506.2,24518.2,12.0,WIN,24453.13,24385.71,24290.08,84.78,40.99,30.06,46.77,42.84,89.0
2026-04-27 10:00:00+05:30,2026-04-27 10:30:00+05:30,24080.2,24023.2,-57.0,LOSS,23999.56,23959.17,24093.19,78.28,45.02,38.2,51.8,38.97,83.0
2026-04-27 13:05:00+05:30,2026-04-27 14:30:00+05:30,24090.95,24083.5,-7.45,LOSS,24059.92,24033.0,24080.67,80.84,42.94,16.08,14.41,11.34,81.0
2026-04-29 10:05:00+05:30,2026-04-29 12:30:00+05:30,24211.75,24324.7,112.95,WIN,24104.68,24069.61,24075.62,88.23,43.7,35.8,46.35,29.57,82.0
2026-05-04 09:55:00+05:30,2026-05-04 10:10:00+05:30,24246.2,24175.2,-71.0,LOSS,24145.76,24062.79,24059.0,80.96,43.36,47.15,70.8,56.84,92.0
2026-05-06 09:50:00+05:30,2026-05-06 10:50:00+05:30,24152.1,24095.8,-56.3,LOSS,24100.52,24057.46,24053.39,77.7,40.9,36.51,36.14,30.48,84.0
2026-05-06 13:30:00+05:30,2026-05-06 14:20:00+05:30,24086.35,24250.5,164.15,WIN,24060.06,24068.92,24063.42,61.65,59.51,20.88,-5.69,-13.23,75.0
2026-05-06 14:25:00+05:30,2026-05-07 09:50:00+05:30,24311.65,24335.2,23.55,WIN,24127.72,24097.96,24071.96,95.31,55.7,29.48,38.65,16.31,81.0
